YM,state,user_cnt,rnk
2016-09,RR,1,1
2016-09,SP,1,1
2016-10,SP,103,1
2016-10,RJ,43,2
2016-10,MG,39,3
2016-10,RS,21,4
2016-10,PR,19,5
2016-10,SC,10,6
2016-10,GO,8,7
2016-10,CE,7,8
2016-10,PE,7,8
2016-10,DF,6,9
2016-10,BA,4,10
2016-10,ES,4,10
2016-10,MA,4,10
2016-10,PA,4,10
2016-10,RN,4,10
2016-10,SE,3,11
2016-10,AL,2,12
2016-10,MT,2,12
2016-10,PB,1,13
2016-10,PI,1,13
2016-10,RR,1,13
2016-12,PR,1,1
2017-01,SP,294,1
2017-01,MG,106,2
2017-01,RJ,96,3
2017-01,PR,64,4
2017-01,RS,53,5
2017-01,SC,31,6
2017-01,BA,25,7
2017-01,GO,18,8
2017-01,DF,13,9
2017-01,PA,12,10
2017-01,ES,11,11
2017-01,MT,11,11
2017-01,CE,9,12
2017-01,PE,9,12
2017-01,MA,7,13
2017-01,PI,7,13
2017-01,RN,5,14
2017-01,SE,4,15
2017-01,RO,3,16
2017-01,AC,2,17
2017-01,AL,2,17
2017-01,PB,2,17
2017-01,TO,2,17
2017-01,MS,1,18
2017-02,SP,630,1
2017-02,MG,250,2
2017-02,RJ,242,3
2017-02,PR,111,4
2017-02,RS,104,5
2017-02,BA,59,6
2017-02,SC,58,7
2017-02,ES,32,8
2017-02,GO,25,9
2017-02,PA,25,9
2017-02,DF,23,10
2017-02,PE,20,11
2017-02,MT,17,12
2017-02,CE,13,13
2017-02,AL,12,14
2017-02,PB,12,14
2017-02,SE,12,14
2017-02,MA,11,15
2017-02,MS,11,15
2017-02,PI,11,15
2017-02,RO,10,16
2017-02,AM,8,17
2017-02,RN,8,17
2017-02,TO,7,18
2017-02,AC,3,19
2017-02,AP,2,20
2017-02,RR,2,20
2017-03,SP,991,1
2017-03,RJ,386,2
2017-03,MG,350,3
2017-03,RS,147,4
2017-03,PR,125,5
2017-03,SC,106,6
2017-03,BA,89,7
2017-03,DF,55,8
2017-03,GO,50,9
2017-03,ES,48,10
2017-03,PE,41,11
2017-03,PA,35,12
2017-03,CE,26,13
2017-03,SE,23,14
2017-03,MA,22,15
2017-03,MS,19,16
2017-03,MT,16,17
2017-03,PB,16,17
2017-03,RO,16,17
2017-03,PI,13,18
2017-03,RN,13,18
2017-03,AL,10,19
2017-03,TO,8,20
2017-03,AM,5,21
2017-03,AP,3,22
2017-03,AC,2,23
2017-03,RR,2,23
2017-04,SP,895,1
2017-04,RJ,334,2
2017-04,MG,273,3
2017-04,RS,137,4
2017-04,PR,114,5
2017-04,SC,104,6
2017-04,BA,91,7
2017-04,ES,46,8
2017-04,CE,43,9
2017-04,GO,41,10
2017-04,PE,39,11
2017-04,PA,36,12
2017-04,DF,35,13
2017-04,MT,27,14
2017-04,MA,26,15
2017-04,AL,23,16
2017-04,PB,20,17
2017-04,MS,15,18
2017-04,TO,14,19
2017-04,AM,13,20
2017-04,PI,13,20
2017-04,SE,13,20
2017-04,RN,10,21
2017-04,RO,8,22
2017-04,AC,5,23
2017-04,RR,2,24
2017-05,SP,1396,1
2017-05,RJ,485,2
2017-05,MG,420,3
2017-05,PR,211,4
2017-05,RS,206,5
