product,YM,state,user_cnt,rev
moveis_decoracao,2016-09,RR,1,272.46
beleza_saude,2016-09,SP,1,NULL
bebes,2016-10,MG,1,217.3
bebes,2016-10,PR,1,217.68
bebes,2016-10,RJ,3,655.47
bebes,2016-10,SP,4,760.26
beleza_saude,2016-10,CE,2,181.29000000000002
beleza_saude,2016-10,DF,1,310.4
beleza_saude,2016-10,ES,1,119.43
beleza_saude,2016-10,GO,1,68.72
beleza_saude,2016-10,MG,7,942.24
beleza_saude,2016-10,PE,1,102.69
beleza_saude,2016-10,PI,1,246.09
beleza_saude,2016-10,PR,6,406.97
beleza_saude,2016-10,RJ,6,1659.25
beleza_saude,2016-10,RR,1,69.02
beleza_saude,2016-10,RS,1,173.77
beleza_saude,2016-10,SC,4,568.65
beleza_saude,2016-10,SP,10,968.8199999999998
brinquedos,2016-10,DF,1,123.2
brinquedos,2016-10,GO,2,215.63
brinquedos,2016-10,MG,4,980.7400000000001
brinquedos,2016-10,PA,1,663.93
brinquedos,2016-10,PB,1,74.74
brinquedos,2016-10,RJ,5,1679.3300000000002
brinquedos,2016-10,RS,2,306.22
brinquedos,2016-10,SP,6,1232.4
market_place,2016-10,GO,1,98.55000000000001
market_place,2016-10,MA,1,3751.2
market_place,2016-10,MG,1,72.6
market_place,2016-10,PR,1,112.52
market_place,2016-10,RJ,1,338.68
market_place,2016-10,SP,2,582.3199999999999
moveis_decoracao,2016-10,CE,1,149.39
moveis_decoracao,2016-10,DF,1,286.8
moveis_decoracao,2016-10,GO,1,74.15
moveis_decoracao,2016-10,MG,7,852.4599999999999
moveis_decoracao,2016-10,MT,1,202.88
moveis_decoracao,2016-10,PA,2,1019.55
moveis_decoracao,2016-10,PE,1,76.51
moveis_decoracao,2016-10,PR,7,2819.15
moveis_decoracao,2016-10,RJ,5,609.9900000000001
moveis_decoracao,2016-10,RN,1,178.11
moveis_decoracao,2016-10,RS,3,397.79
moveis_decoracao,2016-10,SC,2,870.6199999999999
moveis_decoracao,2016-10,SE,1,89.08
moveis_decoracao,2016-10,SP,18,3226.0600000000004
moveis_escritorio,2016-10,ES,1,783.22
moveis_escritorio,2016-10,MA,1,264.08
moveis_escritorio,2016-10,MG,1,159.35
moveis_escritorio,2016-10,SP,3,380.9
perfumaria,2016-10,CE,2,362.89
perfumaria,2016-10,DF,1,55.95
perfumaria,2016-10,GO,2,631.9200000000001
perfumaria,2016-10,MG,3,433.48
perfumaria,2016-10,PE,1,273.77
perfumaria,2016-10,RJ,6,1911.48
perfumaria,2016-10,SC,1,319.09
perfumaria,2016-10,SP,10,2224.7799999999997
pet_shop,2016-10,RJ,1,127.86
pet_shop,2016-10,RS,1,116.16
pet_shop,2016-10,SP,2,531.84
NULL,2016-10,RS,1,77.73
NULL,2016-10,SC,1,76.19
NULL,2016-10,SP,1,73.04
,2016-10,RJ,1,30.42
,2016-10,SP,1,65.5
alimentos,2016-10,SP,1,96.23
audio,2016-10,RJ,1,147.08
audio,2016-10,SP,1,35.95
automotivo,2016-10,AL,1,76.6
automotivo,2016-10,CE,1,594.46
automotivo,2016-10,MG,1,66.03
automotivo,2016-10,MT,1,401.19
automotivo,2016-10,RJ,1,24.52
automotivo,2016-10,RN,1,194.85
automotivo,2016-10,SP,3,394.81
eletronicos,2016-10,SP,1,119.79
esporte_lazer,2016-10,GO,1,65.7
esporte_lazer,2016-10,MA,1,64.83
esporte_lazer,2016-10,MG,1,173.4
esporte_lazer,2016-10,PE,2,995.4
esporte_lazer,2016-10,PR,1,33.42
esporte_lazer,2016-10,RJ,2,527.74
esporte_lazer,2016-10,RS,5,317.43
esporte_lazer,2016-10,SP,4,312.84000000000003
relogios_presentes,2016-10,BA,1,674.33
relogios_presentes,2016-10,DF,1,671.31
relogios_presentes,2016-10,RJ,1,1423.55
relogios_presentes,2016-10,SP,2,698.85
telefonia,2016-10,BA,1,40.79
telefonia,2016-10,MG,2,252.1
telefonia,2016-10,SP,5,197.74
telefonia_fixa,2016-10,RJ,1,20.11
telefonia_fixa,2016-10,SC,1,214.98
telefonia_fixa,2016-10,SP,3,539.36
utilidades_domesticas,2016-10,BA,1,204.38
utilidades_domesticas,2016-10,MA,1,44.74
utilidades_domesticas,2016-10,MG,1,60.52
utilidades_domesticas,2016-10,RJ,1,48.55
utilidades_domesticas,2016-10,RN,1,934.4
utilidades_domesticas,2016-10,SP,4,1443.9299999999998
cool_stuff,2016-10,ES,1,89.16
cool_stuff,2016-10,MG,1,72.02
cool_stuff,2016-10,PA,1,121.01
cool_stuff,2016-10,RJ,2,270.01
cool_stuff,2016-10,RS,1,455.01
cool_stuff,2016-10,SP,1,237.97
informatica_acessorios,2016-10,AL,1,53.3
informatica_acessorios,2016-10,DF,1,51.05
informatica_acessorios,2016-10,MG,4,1223.46
informatica_acessorios,2016-10,PE,1,95.58
informatica_acessorios,2016-10,PR,1,58.41
informatica_acessorios,2016-10,RJ,1,33.519999999999996
informatica_acessorios,2016-10,RN,1,41.18
informatica_acessorios,2016-10,RS,2,233.70000000000002
informatica_acessorios,2016-10,SE,1,176.85
informatica_acessorios,2016-10,SP,5,429.65
livros_interesse_geral,2016-10,PE,1,144.54
livros_tecnicos,2016-10,SP,1,299.84
cama_mesa_banho,2016-10,MG,1,184.87
cama_mesa_banho,2016-10,PR,2,1987.2400000000002
cama_mesa_banho,2016-10,RJ,1,74.59
cama_mesa_banho,2016-10,SP,1,45.01
climatizacao,2016-10,MG,1,319
climatizacao,2016-10,RS,1,802.6
climatizacao,2016-10,SC,1,2707.68
climatizacao,2016-10,SP,2,846.1499999999999
consoles_games,2016-10,CE,1,661.75
consoles_games,2016-10,ES,1,75.33
consoles_games,2016-10,RJ,2,1045.02
consoles_games,2016-10,RS,1,982.41
consoles_games,2016-10,SE,1,79.99
consoles_games,2016-10,SP,4,1244.92
fashion_bolsas_e_acessorios,2016-10,BA,1,75.84
fashion_bolsas_e_acessorios,2016-10,MG,1,105.19
fashion_bolsas_e_acessorios,2016-10,PR,1,163.8
fashion_bolsas_e_acessorios,2016-10,RS,1,45.7
fashion_bolsas_e_acessorios,2016-10,SP,3,194.70999999999998
fashion_calcados,2016-10,SP,1,40.95
fashion_roupa_feminina,2016-10,MG,1,69.63
fashion_roupa_masculina,2016-10,SP,1,35.86
ferramentas_jardim,2016-10,MG,1,419.06
ferramentas_jardim,2016-10,PR,1,156.22
ferramentas_jardim,2016-10,RJ,1,611.56
ferramentas_jardim,2016-10,SP,2,278.35
fraldas_higiene,2016-10,RJ,1,150.99
industria_comercio_e_negocios,2016-10,RS,2,226.34
industria_comercio_e_negocios,2016-10,SP,1,414.44
fashion_bolsas_e_acessorios,2016-12,PR,1,19.62
fashion_bolsas_e_acessorios,2017-01,BA,1,160.42000000000002
fashion_bolsas_e_acessorios,2017-01,CE,1,58.74
fashion_bolsas_e_acessorios,2017-01,DF,1,166.14
fashion_bolsas_e_acessorios,2017-01,MG,3,449.35
fashion_bolsas_e_acessorios,2017-01,MT,1,130.72
fashion_bolsas_e_acessorios,2017-01,PA,1,44.739999999999995
fashion_bolsas_e_acessorios,2017-01,PR,10,244.48000000000002
fashion_bolsas_e_acessorios,2017-01,RJ,3,277.92
fashion_bolsas_e_acessorios,2017-01,RS,1,75.73
fashion_bolsas_e_acessorios,2017-01,SC,2,420.25
fashion_bolsas_e_acessorios,2017-01,SP,6,659.0799999999998
fashion_calcados,2017-01,SP,1,49.01
fashion_roupa_feminina,2017-01,RJ,1,69.45
fashion_roupa_feminina,2017-01,SP,1,33.36
fashion_roupa_masculina,2017-01,PA,1,159.11
fashion_underwear_e_moda_praia,2017-01,DF,1,102.15
fashion_underwear_e_moda_praia,2017-01,RJ,1,69
ferramentas_jardim,2017-01,AL,1,159.94
ferramentas_jardim,2017-01,BA,2,251.86
ferramentas_jardim,2017-01,CE,1,181
ferramentas_jardim,2017-01,GO,1,11745
ferramentas_jardim,2017-01,MG,9,2476.98
ferramentas_jardim,2017-01,MT,1,687.76
ferramentas_jardim,2017-01,PA,1,56.6
ferramentas_jardim,2017-01,PR,2,605.55
ferramentas_jardim,2017-01,RJ,7,1788.56
ferramentas_jardim,2017-01,RS,3,994.3
ferramentas_jardim,2017-01,SC,1,256.79
ferramentas_jardim,2017-01,SP,11,2118.33
relogios_presentes,2017-01,CE,1,305.44
relogios_presentes,2017-01,GO,1,1326.79
relogios_presentes,2017-01,MG,2,348.56
relogios_presentes,2017-01,PA,1,406.14
relogios_presentes,2017-01,PR,1,460.22
relogios_presentes,2017-01,RJ,3,2207.27
relogios_presentes,2017-01,SP,2,3256.4100000000003
seguros_e_servicos,2017-01,RO,1,209.06
telefonia,2017-01,AL,1,588.84
telefonia,2017-01,CE,1,54.9
telefonia,2017-01,DF,1,22.55
telefonia,2017-01,MG,5,483.14000000000004
telefonia,2017-01,MT,1,36.99
telefonia,2017-01,PE,1,59.83
telefonia,2017-01,RJ,2,260.07
telefonia,2017-01,RS,1,59.99
telefonia,2017-01,SC,2,1468.43
telefonia,2017-01,SP,6,952.5200000000001
telefonia_fixa,2017-01,GO,2,302.59
telefonia_fixa,2017-01,MG,1,25.51
telefonia_fixa,2017-01,RJ,2,50.61
telefonia_fixa,2017-01,RS,4,314.90000000000003
telefonia_fixa,2017-01,SP,10,498.94999999999993
utilidades_domesticas,2017-01,BA,1,471.84
utilidades_domesticas,2017-01,GO,2,193.11
utilidades_domesticas,2017-01,MA,1,90.61
utilidades_domesticas,2017-01,MG,1,156
utilidades_domesticas,2017-01,RJ,1,767.64
utilidades_domesticas,2017-01,RS,1,179.83
utilidades_domesticas,2017-01,SC,2,704.0500000000001
utilidades_domesticas,2017-01,SP,12,1954.5400000000002
musica,2017-01,PR,2,37.24
papelaria,2017-01,MG,2,3790.8100000000004
papelaria,2017-01,PR,1,19.62
papelaria,2017-01,SP,4,899.3000000000001
pcs,2017-01,RS,1,2217.99
