city,longitude,latitude,rating,rating_rnk
"Inner City",28.0460275,-26.2051845,4.9,1
"Quezon City",121.075419,14.649503,4.8,2
"Makati City",121.02081799999999,14.559575500000001,4.65,3
"Pasig City",121.05842266666667,14.570193000000002,4.633333333333333,4
"Mandaluyong City",121.056782,14.583734,4.625,5
Beechworth,146.685852,-36.360439,4.6,6
London,-0.13108822225,51.512015611,4.534999999999999,7
"Taguig City",121.0498307,14.548802587499999,4.525,8
"Tagaytay City",120.951589,14.101834,4.5,9
Lincoln,-96.7072,40.8143,4.5,10
Secunderabad,78.52623845,17.471107,4.5,11
Orlando,-81.416287695,28.524832394999997,4.4750000000000005,12
"Rest of Hawaii",-157.106178445,20.997573239999998,4.41,13
"Tampa Bay",-82.56828691499999,27.898321385000003,4.41,14
"Palm Cove",145.670768,-16.748083,4.4,15
Tanunda,138.966064,-34.519619,4.4,16
Bangalore,77.6344059925,12.955034355499999,4.375000000000001,17
Dubai,55.274324102,25.198020583499996,4.369999999999999,18
"Pasay City",120.97969666666667,14.541441110000001,4.366666666666666,19
Jakarta,100.14330173750001,-5.8136495419375,4.35625,20
Hyderabad,78.39625728611112,17.43276057944444,4.344444444444445,21
Chennai,80.23815012,13.034892899500003,4.315,22
Ankara,32.82427616100001,39.906428855,4.305000000000001,23
Tangerang,106.6894037,-6.2558529445,4.300000000000001,24
Clatskanie,-123.368151,46.126967,4.3,25
Vernonia,-123.1954368,45.858667,4.3,26
"Vineland Station",-79.3791465,43.1868697,4.3,27
"Abu Dhabi",54.405998419499994,24.4642687255,4.3,28
Mohali,76.7187888,30.6955506,4.3,29
Randburg,27.991791,-26.14026,4.3,30
Sandton,28.039619141818182,-26.072717750909092,4.299999999999999,31
防stanbul,29.016331271428573,41.02990383499999,4.292857142857144,32
Auckland,174.76193619,-35.018806837,4.2749999999999995,33
"Rio de Janeiro",-43.2201907225,-22.9626178605,4.265,34
Boise,-116.2418823,43.610375145,4.26,35
Kolkata,88.3724881635,22.541205974000007,4.255000000000001,36
"San Juan City",121.03585085,14.59617,4.25,37
"Wellington City",174.77810017999997,-41.293814186000006,4.249999999999999,38
Goa,62.722506300000006,13.178196682500001,4.245000000000001,39
"Des Moines",-93.662813285,41.63989198,4.234999999999999,40
Pune,73.8496706975,18.551124155,4.22,41
Athens,-83.38049078000002,33.95380840999999,4.200000000000001,42
Pensacola,-87.19811637499998,30.395173004999993,4.200000000000001,43
Panchkula,76.849258,30.6978586,4.2,44
Bandung,107.6127895,-6.887057501,4.2,45
Johannesburg,28.02086124,-26.14171512333333,4.2,46
Lucknow,65.55336541047619,21.738139460476187,4.195238095238095,47
Guwahati,65.55042233190476,18.694813485714285,4.19047619047619,48
Pretoria,28.257865699,-25.779438526499995,4.19,49
"Cedar Rapids/Iowa City",-91.58551136,41.820305784999995,4.165,50
Ahmedabad,72.53132398952381,23.036909637142855,4.161904761904761,51
Savannah,-81.06866956500001,32.06973323500001,4.155,52
Coimbatore,76.97817052050002,11.009894047000003,4.135,53
Jaipur,75.79447456449999,26.895980518000005,4.130000000000001,54
Augusta,-82.053204815,33.48917119000001,4.13,55
Macon,-83.66086994999999,32.730632594999996,4.115,56
Dalton,-85.056923845,34.775855075,4.11,57
"Cape Town",18.4251830925,-33.92722989299999,4.109999999999999,58
"East Ballina",153.593331,-28.862663,4.1,59
Huskisson,150.6710743,-35.0388698,4.1,60
"Trentham East",144.41272,-37.396942,4.1,61
Edinburgh,-3.1919999499499996,55.953480328,4.09,62
Mumbai,72.848456371,19.1143873445,4.084999999999999,63
Kochi,76.30118890399999,9.992868139199999,4.08,64
Doha,51.512866177,25.2862045005,4.0600000000000005,65
Chandigarh,76.78993902222224,30.72020503333333,4.05,66
Dehradun,50.738920994,19.724805089500002,4.05,67
Manchester,-2.23903381655,53.47820889950001,4.045,68
Gainesville,-83.85165629999999,34.4226462,4.035,69
Columbus,-84.96644000500001,32.51937821999999,4.03,70
Sharjah,55.397934809000006,25.324899595499996,4.029999999999999,71
Vadodara,36.5834827945,11.155734048,4.0249999999999995,72
Vizag,62.492616916500005,13.297467825499998,4.005000000000001,73
Princeton,-74.651139,40.352385,4,74
Bhubaneshwar,69.47785703666666,16.453016752857145,3.9809523809523806,75
Ludhiana,68.23790636750002,27.804749478499996,3.9799999999999995,76
Indore,75.888196957,22.736774547,3.969999999999999,77
