"restaurant name",city,cuisines,"aggregate rating",cost
"Le Petit Souffle","Makati City","French, Japanese, Desserts",4.8,90.200
"Izakaya Kikufuji","Makati City",Japanese,4.5,98.400
"Heat - Edsa Shangri-La","Mandaluyong City","Seafood, Asian, Filipino, Indian",4.4,328.000
Ooma,"Mandaluyong City","Japanese, Sushi",4.9,123.000
"Sambo Kojin","Mandaluyong City","Japanese, Korean",4.8,123.000
"Din Tai Fung","Mandaluyong City",Chinese,4.4,82.000
"Buffet 101","Pasay City","Asian, European",4,164.000
Vikings,"Pasay City","Seafood, Filipino, Asian, European",4.2,164.000
"Spiral - Sofitel Philippine Plaza Manila","Pasay City","European, Asian, Indian",4.9,492.000
Locavore,"Pasig City",Filipino,4.8,90.200
"Silantro Fil-Mex","Pasig City","Filipino, Mexican",4.9,65.600
"Mad Mark's Creamery & Good Eats","Pasig City","American, Ice Cream, Desserts",4.2,73.800
"Silantro Fil-Mex","Quezon City","Filipino, Mexican",4.8,65.600
Guevarra's,"San Juan City",Filipino,4.2,82.000
"Sodam Korean Restaurant","San Juan City",Korean,4.3,57.400
"Cafe Arabelle","Santa Rosa","Cafe, American, Italian, Filipino",3.6,65.600
"Nonna's Pasta & Pizzeria","Santa Rosa","Italian, Pizza",4,69.700
"Balay Dako","Tagaytay City",Filipino,4.5,98.400
"Hobing Korean Dessert Cafe","Taguig City","Cafe, Korean, Desserts",4.5,49.200
"Wildflour Cafe + Bakery","Taguig City","Cafe, Bakery, American, Italian",4.4,123.000
"NIU by Vikings","Taguig City","Seafood, American, Mediterranean, Japanese",4.7,246.000
"The Food Hall by Todd English","Taguig City","American, Asian, Italian, Seafood",4.5,147.600
"Chez Michou",Bras?lia,"Fast Food, French",3,10.45
"Caf刺 Daniel Briand",Bras?lia,Cafe,3.8,5.70
"Casa do Biscoito Mineiro",Bras?lia,Bakery,3.7,8.55
Maori,Bras?lia,Brazilian,3.8,11.40
"Pizza 掌 Bessa",Bras?lia,Pizza,3.2,9.50
"Sushi Loko",Bras?lia,Japanese,3.1,15.20
Beirute,Bras?lia,Arabian,3.7,17.10
"New Koto",Bras?lia,Japanese,3.7,38.00
"Sandubas Caf刺",Bras?lia,"Brazilian, Cafe",0,5.70
"Villa Tevere",Bras?lia,Italian,4.1,28.50
Rovereto,Bras?lia,Pizza,3.1,19.00
"Buena Carne",Bras?lia,"Bar Food, Brazilian",3.6,11.40
"Taco Pep",Bras?lia,"Mexican, Grill",4.3,19.00
"Coco Bambu",Bras?lia,International,4.2,43.70
Tayp暲,Bras?lia,"Peruvian, Latin American",3.6,19.00
"Outback Steakhouse",Bras?lia,"American, Grill",4,28.50
Manzu暲,Bras?lia,Seafood,3.2,45.60
"Coco Bambu",Bras?lia,International,4.9,43.70
Gero,Bras?lia,Italian,3.3,66.50
"Brazilian American Burgers",Bras?lia,"American, Burger",3.6,9.50
"Pesqueiro Eco Gourmet","Rio de Janeiro","Seafood, Bar Food, Brazilian",4,26.60
"Confeitaria Colombo","Rio de Janeiro","Desserts, Cafe",4.8,19.00
Bibi,"Rio de Janeiro","Juices, Healthy Food",4.7,11.40
Cervantes,"Rio de Janeiro","Beverages, Bar Food, Fast Food",4.5,17.10
Amir,"Rio de Janeiro",Lebanese,4.2,32.30
"TT Burger","Rio de Janeiro",Burger,4.8,11.40
"Braseiro da G暲vea","Rio de Janeiro","Brazilian, Bar Food",4.9,19.00
"Balada Mix","Rio de Janeiro","Brazilian, Healthy Food, Juices, Pizza",4.6,17.10
"Garota de Ipanema","Rio de Janeiro","Brazilian, Bar Food",4.9,22.80
