"restaurant name",city,"aggregate rating",rating_rnk
"Cube - Tasting Kitchen","Inner City",4.9,1
Urbanologi,"Inner City",4.9,1
"Ministry of Crab",Colombo,4.9,1
Starbucks,防stanbul,4.9,1
"Restaurant Mosaic @ The Orient",Pretoria,4.9,1
"Gaga Manjero",Ankara,4.9,1
"Draft Gastro Pub",防stanbul,4.9,1
Ooma,"Mandaluyong City",4.9,1
"Spiral - Sofitel Philippine Plaza Manila","Pasay City",4.9,1
"Silantro Fil-Mex","Pasig City",4.9,1
"Coco Bambu",Bras?lia,4.9,1
"Braseiro da G暲vea","Rio de Janeiro",4.9,1
"Garota de Ipanema","Rio de Janeiro",4.9,1
"Rae's Coastal Cafe",Augusta,4.9,1
"Shorts Burger and Shine","Cedar Rapids/Iowa City",4.9,1
"Oakwood Cafe",Dalton,4.9,1
"Tantra Asian Bistro",Davenport,4.9,1
"The Cafe","Des Moines",4.9,1
"Atlanta Highway Seafood Market",Gainesville,4.9,1
"Ingleside Village Pizza",Macon,4.9,1
"Pom Pom's Teahouse and Sandwicheria",Orlando,4.9,1
"Yellow Dog Eats",Orlando,4.9,1
"McGuire's Irish Pub & Brewery",Pensacola,4.9,1
"Mama's Fish House","Rest of Hawaii",4.9,1
"Marukame Udon","Rest of Hawaii",4.9,1
"Mazzaro's Italian Market","Tampa Bay",4.9,1
"Mr. Dunderbak's Biergarten and Marketplatz","Tampa Bay",4.9,1
"Punjab Grill","Abu Dhabi",4.9,1
"AB's Absolute Barbecues",Dubai,4.9,1
"Carnival By Tresind",Dubai,4.9,1
"Tresind - Nassima Royal Hotel",Dubai,4.9,1
"Sheroes Hangout",Agra,4.9,1
"Sagar Gaire Fast Food",Bhopal,4.9,1
"AB's - Absolute Barbecues",Chennai,4.9,1
CakeBee,Coimbatore,4.9,1
"The Great Indian Pub",Dehradun,4.9,1
Caterspoint,Gurgaon,4.9,1
"Barbeque Nation",Guwahati,4.9,1
"AB's - Absolute Barbecues",Hyderabad,4.9,1
"AB's - Absolute Barbecues",Hyderabad,4.9,1
"Zolocrust - Hotel Clarks Amer",Jaipur,4.9,1
"Barbeque Nation",Kolkata,4.9,1
"Barbeque Nation",Kolkata,4.9,1
"Grandson of Tunday Kababi",Lucknow,4.9,1
"Mirchi And Mime",Mumbai,4.9,1
"Barbeque Nation",Nagpur,4.9,1
"Naturals Ice Cream","New Delhi",4.9,1
"Indian Accent - The Manor","New Delhi",4.9,1
"Masala Library","New Delhi",4.9,1
"Barbeque Nation",Vizag,4.9,1
"Talaga Sampireun",Jakarta,4.9,1
"Sushi Masa",Jakarta,4.9,1
"Talaga Sampireun",Jakarta,4.9,1
"Talaga Sampireun",Tangerang,4.9,1
Milse,Auckland,4.9,1
Miann,Auckland,4.9,1
"Flat Iron",London,4.9,1
"Duck & Waffle",London,4.9,1
Bao,London,4.9,1
Solita,Manchester,4.9,1
"Mainland China Restaurant",Doha,4.9,1
"Kopper Kadai","New Delhi",4.8,2
"Le Plaisir",Pune,4.8,2
"Depot Eatery and Oyster Bar",Auckland,4.8,2
Hakkasan,London,4.8,2
Jarryds,"Cape Town",4.8,2
"Gemelli Cucina Bar",Sandton,4.8,2
"Le Petit Souffle","Makati City",4.8,2
"Sambo Kojin","Mandaluyong City",4.8,2
Locavore,"Pasig City",4.8,2
"Silantro Fil-Mex","Quezon City",4.8,2
"Confeitaria Colombo","Rio de Janeiro",4.8,2
"TT Burger","Rio de Janeiro",4.8,2
"Skye - Hotel Unique","S粒o Paulo",4.8,2
"Miyabi 9","Des Moines",4.8,2
"Hollerbach's Willow Tree Caf刺",Orlando,4.8,2
"Ella's Americana Folk Art Cafe","Tampa Bay",4.8,2
"AB's Absolute Barbecues",Dubai,4.8,2
"Rajasthan Al Malaki",Sharjah,4.8,2
Toit,Bangalore,4.8,2
Chili's,Chennai,4.8,2
"Burger Factory",Goa,4.8,2
Matchbox,Gurgaon,4.8,2
Prankster,Gurgaon,4.8,2
Con?u,Hyderabad,4.8,2
"Spice Kraft",Kolkata,4.8,2
"NIU by Vikings","Taguig City",4.7,3
Bibi,"Rio de Janeiro",4.7,3
Apraz?vel,"Rio de Janeiro",4.7,3
"Zoeys Pizzeria","Cedar Rapids/Iowa City",4.7,3
"Earl of Sandwich",Orlando,4.7,3
"Tibby's New Orleans Kitchen",Orlando,4.7,3
"Original Georgios Authentic Greek Food",Pensacola,4.7,3
"Kona Brewing Company","Rest of Hawaii",4.7,3
"Leonard's Bakery","Rest of Hawaii",4.7,3
"Green Truck Pub",Savannah,4.7,3
"Bern's Steak House","Tampa Bay",4.7,3
Datz,"Tampa Bay",4.7,3
Tamba,"Abu Dhabi",4.7,3
"The Cheesecake Factory",Dubai,4.7,3
"The Fatty Bao - Asian Gastro Bar",Bangalore,4.7,3
"ECHOES Koramangala",Bangalore,4.7,3
Truffles,Bangalore,4.7,3
"The Black Sheep Bistro",Goa,4.7,3
"feel ALIVE",Gurgaon,4.7,3
"The Basement Caf刺",Guwahati,4.7,3
Chili's,Hyderabad,4.7,3
Churrolto,Hyderabad,4.7,3
"Tapri Central",Jaipur,4.7,3
"Barbeque Nation",Lucknow,4.7,3
"The Fusion Kitchen",Mumbai,4.7,3
"MOB Brewpub","New Delhi",4.7,3
"Zabardast Indian Kitchen","New Delhi",4.7,3
"Naturals Ice Cream","New Delhi",4.7,3
"Echoes Satyaniketan","New Delhi",4.7,3
"Pa Pa Ya","New Delhi",4.7,3
Giapo,Auckland,4.7,3
"Eight - The Langham Hotel",Auckland,4.7,3
"Roseleaf Bar Cafe",Edinburgh,4.7,3
Gymkhana,London,4.7,3
Yauatcha,London,4.7,3
"Restaurant Gordon Ramsay",London,4.7,3
Dishoom,London,4.7,3
Gymkhana,Doha,4.7,3
Kream,Pretoria,4.7,3
"J'adore Chocolatier",防stanbul,4.7,3
"Pizza 防l Forno",Ankara,4.7,3
"Karak?y G?ll?o範lu",防stanbul,4.7,3
"Hattena Hatay  Sofras旁",Ankara,4.6,4
"Licorish Bistro",Sandton,4.6,4
"Me괃hur ?z?elik Aspava",Ankara,4.6,4
"Balada Mix","Rio de Janeiro",4.6,4
"Zaz暲 Bistr灼 Tropical","Rio de Janeiro",4.6,4
"Sushi Leblon","Rio de Janeiro",4.6,4
"Aconchego Carioca","Rio de Janeiro",4.6,4
"Les 3 Brasseurs","S粒o Paulo",4.6,4
Veloso,"S粒o Paulo",4.6,4
