"restaurant name",city,"average cost for two",cost_rnk
Skye,Jakarta,800000,1
"Satoo - Hotel Shangri-La",Jakarta,800000,2
"Sushi Masa",Jakarta,500000,3
"3 Wise Monkeys",Jakarta,450000,4
"Avec Moi Restaurant and Bar",Jakarta,350000,5
"Lucky Cat Coffee & Kitchen",Jakarta,300000,6
Onokabe,Tangerang,300000,7
Lemongrass,Bogor,250000,8
MONKS,Jakarta,250000,9
"Talaga Sampireun",Jakarta,200000,10
OJJU,Jakarta,200000,11
"Union Deli",Jakarta,200000,12
Zenbu,Jakarta,200000,13
"Talaga Sampireun",Jakarta,200000,14
"Talaga Sampireun",Tangerang,200000,15
"Toodz House",Jakarta,165000,16
"Noah's Barn Coffeenery",Bandung,150000,17
"Flip Burger",Jakarta,120000,18
"Fish Streat",Jakarta,100000,19
"Fish Streat",Jakarta,100000,20
"Momo Milk",Bogor,70000,21
"Orient Express - Taj Palace Hotel","New Delhi",8000,22
"Tian - Asian Cuisine Studio - ITC Maurya","New Delhi",7000,23
"Bukhara - ITC Maurya","New Delhi",6500,24
"Spiral - Sofitel Philippine Plaza Manila","Pasay City",6000,25
"Nostalgia at 1911 Brasserie - The Imperial","New Delhi",6000,26
"1911 - The Imperial","New Delhi",6000,27
"The Spice Route - The Imperial","New Delhi",6000,28
"Wasabi by Morimoto - The Taj Mahal Hotel","New Delhi",6000,29
"MEGU - The Leela Palace","New Delhi",5500,30
"House of Ming - The Taj Mahal Hotel","New Delhi",5500,31
"24/7 Restaurant - The Lalit New Delhi","New Delhi",5100,32
"Shang Palace - Shangri-La's Eros Hotel","New Delhi",5000,33
"Sorrento - Shangri-La's - Eros Hotel","New Delhi",5000,34
"Jade - The Claridges","New Delhi",5000,35
"San Gimignano - The Imperial","New Delhi",5000,36
"Kitty Su - The Lalit New Delhi","New Delhi",5000,37
"Le Cirque - The Leela Palace","New Delhi",5000,38
"The Grill Room - The Taj Mahal Hotel","New Delhi",5000,39
"Machan - The Taj Mahal Hotel","New Delhi",5000,40
"Wildfire - Crowne Plaza",Gurgaon,5000,41
Privee',"New Delhi",5000,42
"Masala Library","New Delhi",5000,43
"Le Belvedere - Le Meridien","New Delhi",5000,44
"Empress of China - Eros Hotel","New Delhi",4800,45
Hype,"New Delhi",4700,46
"Sevilla - The Claridges","New Delhi",4500,47
"The Grill Room - The Lalit New Delhi","New Delhi",4500,48
"Baluchi - The Lalit New Delhi","New Delhi",4500,49
"Woks - The Lalit New Delhi","New Delhi",4500,50
"Aqua - The Park","New Delhi",4500,51
"Varq - The Taj Mahal Hotel","New Delhi",4500,52
"The Manhattan Fish Market",Colombo,4500,53
"I-Kandy - Le Meridien Gurgaon",Gurgaon,4500,54
"La Piazza - Hyatt Regency","New Delhi",4500,55
"China Kitchen - Hyatt Regency","New Delhi",4500,56
"Oval Bar - JW Marriott New Delhi","New Delhi",4500,57
"The One - Le Meridien","New Delhi",4500,58
"Eau De Monsoon - Le Meridien","New Delhi",4500,59
"Club BW - The Suryaa New Delhi","New Delhi",4400,60
"Dhaba - The Claridges","New Delhi",4300,61
"Ricks Bar - The Taj Mahal Hotel","New Delhi",4200,62
"Aura - The Claridges","New Delhi",4100,63
"Dakshin - Sheraton New Delhi Hotel","New Delhi",4000,64
"Daniell's Tavern - The Imperial","New Delhi",4000,65
"Jamavar - The Leela Palace","New Delhi",4000,66
"Spicy Duck - Taj Palace Hotel","New Delhi",4000,67
"T.G.I. Friday's",Colombo,4000,68
"Ministry of Crab",Colombo,4000,69
"Heat - Edsa Shangri-La","Mandaluyong City",4000,70
"Bella Cucina - Le Meridien Gurgaon",Gurgaon,4000,71
"Thai Pavilion - Vivanta By Taj",Gurgaon,4000,72
"Blooms - Eros Hotel","New Delhi",4000,73
"Indian Accent - The Manor","New Delhi",4000,74
"Jasmine - Hotel The Royal Plaza","New Delhi",4000,75
"T.K'S Oriental Grill - Hyatt Regency","New Delhi",4000,76
"Tamra - Shangri-La's - Eros Hotel","New Delhi",3800,77
"Chidya Ghar - Roseate House","New Delhi",3700,78
"The Oudh - The Ashok","New Delhi",3700,79
"Lounge & Bar - Eros Hotel","New Delhi",3650,80
"Dawat-e-Nawab - Radisson Blu",Agra,3600,81
"Frontier - The Ashok","New Delhi",3600,82
"Pickwicks - The Claridges","New Delhi",3600,83
"Grappa - Shangri-La's - Eros Hotel","New Delhi",3500,84
"Mei Kun - The Leela Ambience Convention Hotel","New Delhi",3500,85
"Dilli 32 - The Leela Ambience Convention Hotel","New Delhi",3500,86
"The Library - The Leela Palace","New Delhi",3500,87
"Mist - The Park","New Delhi",3500,88
"Paatra - Jaypee Greens",Noida,3500,89
"Cafe Shaze",Colombo,3500,90
"Cafe G - Crowne Plaza",Gurgaon,3500,91
